gene_symbol,Tatdn3
analysis_id,w22ir94972i8d9j
gene_accession_id,MGI:1916222
pvalue,0.4748115
mouse_strain,C57BL
parameter_id,IMPC_CBC_012_001
mouse_life_stage,Early adult
parameter_name,Aspartate aminotransferase
