parameter_name,Aggression
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
pvalue,0.1542863
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_079_001
analysis_id,z50r14pf4u88203
mouse_strain,C57BL
