parameter_id,JAX_SLW_014_001
parameter_name,Breath rate during sleep standard deviation
mouse_strain,C57BL
analysis_id,55204o50od3v4we
pvalue,0.3014082
gene_accession_id,MGI:1914256
gene_symbol,Cisd2
mouse_life_stage,Early adult
