analysis_id,rhdkl8y676md9o1
pvalue,0.9817065
gene_accession_id,MGI:2444114
parameter_name,18kHz-evoked ABR Threshold
gene_symbol,Zcchc2
mouse_strain,C57BL
parameter_id,IMPC_ABR_008_001
mouse_life_stage,Early adult
