analysis_id,41mxb35415a1667
mouse_strain,C57BL
parameter_name,Midbrain
mouse_life_stage,E9.5
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
pvalue,0.5180368
parameter_id,IMPC_GEL_029_001
