parameter_name,Red blood cell count
gene_symbol,Ncaph
parameter_id,IMPC_HEM_002_001
mouse_strain,C57BL
analysis_id,7851exnz570i3gy
gene_accession_id,MGI:2444777
pvalue,0.6273911
mouse_life_stage,Early adult
