parameter_name,DN CD44+CD62L+ NKT cells
gene_symbol,Fpgs
mouse_life_stage,Early adult
pvalue,0.9685703
parameter_id,IMPC_IMM_047_001
gene_accession_id,MGI:95576
analysis_id,1101l8j3m7l8021
mouse_strain,C57BL
