parameter_name,center - distance
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
pvalue,0.677312
analysis_id,067n699r5qad4i9
parameter_id,M-G-P_007_001_010
