analysis_id,t6zqxq4x479n212
gene_symbol,Lpgat1
mouse_life_stage,E18.5
gene_accession_id,MGI:2446186
pvalue,0.1724969
parameter_id,M-G-P_008_001_013
mouse_strain,C57BL
parameter_name,Startle Response
