gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
parameter_name,Limb morphology
mouse_life_stage,Early adult
pvalue,0.5575747
mouse_strain,C57BL
parameter_id,IMPC_GEP_084_001
analysis_id,t8ly5b433n840y1
