analysis_id,i3es139974a4u77
gene_accession_id,MGI:1916220
mouse_strain,C57BL
gene_symbol,Dcaf12
mouse_life_stage,Early adult
parameter_name,Retinal Blood Vessels Pattern
parameter_id,IMPC_EYE_026_001
pvalue,0.9705638
