analysis_id,7dezn7xglpzhm62
mouse_strain,C57BL
pvalue,0.3777182
gene_accession_id,MGI:1915087
mouse_life_stage,Early adult
gene_symbol,Tiprl
parameter_id,JAX_URI_002_001
parameter_name,Creatinine
