analysis_id,n8j2g46s14l468j
gene_symbol,Eprs1
parameter_id,JAXLA_CSD_041_002
pvalue,0.5766963
parameter_name,Hindpaw - size
gene_accession_id,MGI:97838
mouse_strain,C57BL
mouse_life_stage,E9.5
