analysis_id,vh1ve7l8hg82o75
parameter_id,MGP_PBI_003_001
gene_accession_id,MGI:1925049
mouse_strain,C57BL
parameter_name,CD4+ alpha beta T cell percentage
mouse_life_stage,Early adult
pvalue,0.2846705
gene_symbol,Sla2
