gene_symbol,Sass6
pvalue,0.7779482
gene_accession_id,MGI:1920026
parameter_name,30kHz-evoked ABR Threshold
mouse_strain,C57BL
analysis_id,6z5up36y109tz0d
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_012_001
