analysis_id,k815cb0lo72m4a2
parameter_name,Potassium
gene_symbol,Rufy4
mouse_strain,C57BL
parameter_id,GMC_906_001_005
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
pvalue,0.427724
