gene_symbol,Etfdh
parameter_name,Corneal vascularization
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8653726
analysis_id,8p6na5f8s37kj73
gene_accession_id,MGI:106100
parameter_id,IMPC_EYE_009_001
