parameter_name,Glucose response AUC
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
mouse_strain,C57BL
pvalue,0.6952088
parameter_id,ESLIM_004_001_701
analysis_id,h58195t9tugb87k
gene_symbol,Frmpd1
