parameter_name,MZB (CD21/35 high)
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
gene_symbol,Rnf114
parameter_id,IMPC_IMM_071_001
mouse_strain,C57BL
analysis_id,23425y6o9xux342
pvalue,0.0986278
