analysis_id,7rj05y1u295sc40
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Body weight
parameter_id,M-G-P_009_001_003
pvalue,0.05947217
gene_symbol,Atf3
gene_accession_id,MGI:109384
