parameter_name,Shape of vertebrae
mouse_life_stage,Early adult
analysis_id,l68p09cjxhd6t50
gene_accession_id,MGI:2385884
pvalue,0.07781534
gene_symbol,Ddx27
parameter_id,IMPC_XRY_018_001
mouse_strain,129SV
