analysis_id,1o17unkj7dk56l3
mouse_life_stage,Early adult
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_name,ST
parameter_id,IMPC_ECG_008_001
gene_symbol,Secisbp2l
pvalue,0.2891693
