analysis_id,96402l1g47e07t7
gene_accession_id,MGI:1336200
mouse_strain,C57BL
gene_symbol,Hpca
parameter_id,IMPC_ABR_002_001
parameter_name,Click-evoked ABR threshold
pvalue,0.2098367
mouse_life_stage,Late adult
