analysis_id,bwkx0d4p2f89gv3
gene_symbol,Bmi1
parameter_name,KLRG1+ gd T cells - % of gd T cells
pvalue,0.6203271
parameter_id,MGP_IMM_022_001
gene_accession_id,MGI:88174
mouse_life_stage,Early adult
mouse_strain,C57BL
