analysis_id,9b2c9xt53c23o66
pvalue,0.08416386
parameter_id,MGP_IMM_076_001
gene_symbol,Cmpk1
mouse_life_stage,Early adult
parameter_name,Total Treg cells - % of CD45+
gene_accession_id,MGI:1913838
mouse_strain,C53BL
