mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
pvalue,0.5240507
mouse_strain,C57BL
analysis_id,3m48994k900cmk8
parameter_id,MGP_CSD_015_001
parameter_name,Head coat/hair presence
