gene_symbol,Cmpk1
pvalue,0.7005772
mouse_strain,C57BL
gene_accession_id,MGI:1913838
parameter_name,Humerus
mouse_life_stage,Early adult
analysis_id,04g94e04jugwiu2
parameter_id,IMPC_XRY_021_001
