Analysis_id,qnsh7nbok6t87i7
Mouse_life_stage,Early adult
Mouse_strain,C57BL
Parameter_id,MGP_IMM_079_001
Gene_symbol,Ufc1
Parameter_name,KLRG1+ Treg cells - % of CD45+
gene_accession_id,MGI:1913405
pvalue,0.4197992
