parameter_name,Bone Mineral Content
parameter_id,ESLIM_005_001_005
mouse_strain,C57BL
pvalue,0.5730842
analysis_id,483d253l623fl1m
mouse_life_stage,Early adult
gene_symbol,Ola1
gene_accession_id,MGI:1914309
