analysis_id,824uq81565w2x0b
parameter_id,MGP_MLN_031_001
gene_symbol,Psd4
gene_accession_id,MGI:2674093
mouse_strain,C57BL
pvalue,0.8303456
parameter_name,Total NK cells - % of CD45+
mouse_life_stage,Early adult
