gene_symbol,Rab13
parameter_name,Coat - hair texture / appearance - abdomen
mouse_strain,C57BL
pvalue,0.3905344
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_016_001
analysis_id,198806w78y70427
