analysis_id,sfo0gj17yv1f2bv
parameter_name,Right total retinal thickness
mouse_strain,C57BL
parameter_id,IMPC_EYE_062_001
gene_symbol,Ints7
pvalue,0.8663108
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
