analysis_id,45258l0g48s2247
parameter_id,IMPC_LDT_006_001
mouse_strain,C57BL
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
parameter_name,Latency to first transition into dark
gene_symbol,Ola1
pvalue,0.3804845
