analysis_id,h0g00a1vv3xc22m
mouse_strain,C52BL
parameter_id,MGP_MLN_009_001
pvalue,0.946768
mouse_life_stage,Early adult
parameter_name,Effector Treg cells - % of Treg
gene_symbol,S100a3
gene_accession_id,MGI:1338849
