analysis_id,1x5p7y9yaqvqw06
parameter_id,IMPC_CSD_012_001
parameter_name,Coat - hair distribution - head
mouse_strain,C57BL
gene_accession_id,MGI:99501
pvalue,0.8158059
gene_symbol,Fgb
mouse_life_stage,E12.5
