analysis_id,mbpyx96to21vr63
gene_symbol,Nanp
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
pvalue,0.5301898
parameter_id,ESLIM_007_001_009
parameter_name,Periphery average speed
