parameter_name,Red blood cell count
gene_accession_id,MGI:1916846
mouse_life_stage,Early adult
analysis_id,z713zctk1czd5io
parameter_id,ESLIM_016_001_002
mouse_strain,C57BL
gene_symbol,Ap5s1
pvalue,0.5345146
