analysis_id,fq6ji7294qa8dj5
parameter_name,Haemoglobin
gene_accession_id,MGI:1913396
parameter_id,ESLIM_016_001_003
gene_symbol,Maco1
mouse_life_stage,Early adult
pvalue,0.3284663
mouse_strain,C57BL
