parameter_id,MGP_IMM_017_001
mouse_strain,C57BL
gene_accession_id,MGI:2674093
gene_symbol,Psd4
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
analysis_id,ceg543gh69g5v03
mouse_life_stage,Early adult
pvalue,0.1402361
