analysis_id,eh77pv1fui5m52h
gene_symbol,Fgb
parameter_name,Embryo Size
parameter_id,IMPC_GEO_019_001
mouse_life_stage,E15.5
mouse_strain,C57BL
pvalue,0.9264878
gene_accession_id,MGI:99501
