parameter_name,NK cell number
parameter_id,MGP_PBI_027_001
gene_accession_id,MGI:95457
gene_symbol,Mecom
mouse_strain,C3H
mouse_life_stage,Early adult
analysis_id,07v8k2g1t943n42
pvalue,0.5289463
