analysis_id,a23q06bh44hu241
pvalue,0.6196932
gene_accession_id,MGI:2140475
mouse_strain,C57BL
gene_symbol,AU040320
mouse_life_stage,Early adult
parameter_name,Cornea vascularisation
parameter_id,ESLIM_014_001_008
