gene_symbol,Sema6c
parameter_name,Monocytes
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
analysis_id,wd5x0rvnv6v38d0
pvalue,0.6425096
parameter_id,IMPC_IMM_051_001
mouse_strain,C57BL
