gene_symbol,Clvs1
gene_accession_id,MGI:1921688
analysis_id,t11uj017a59679y
parameter_name,Stroke Volume
pvalue,0.06143092
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_003_001
mouse_strain,C57BL
