parameter_name,Mean corpuscular hemoglobin
pvalue,0.969282
gene_symbol,Inpp1
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_006_001
mouse_strain,C57BL
analysis_id,29e4e457104dd3f
