analysis_id,ca8e636ug930fhh
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_070_001
pvalue,0.8360132
gene_symbol,Gfi1b
parameter_name,Lower teeth appearance
gene_accession_id,MGI:1276578
mouse_strain,C57BL
