analysis_id,z5245mhk8d9j3u5
pvalue,0.7673248
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,eye size
gene_accession_id,MGI:891989
gene_symbol,Npbwr1
parameter_id,ESLIM_001_001_117
