analysis_id,p7e4r551sh79qol
mouse_life_stage,Early adult
parameter_id,MGP_IMM_022_001
pvalue,0.854856
gene_accession_id,MGI:3522699
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_symbol,Trpa1
mouse_strain,C57BL
