gene_symbol,Gja10
analysis_id,5m8334a993e0455
mouse_life_stage,Early adult
parameter_name,Plasmacytoid DC - % of DC
pvalue,0.08590295
parameter_id,MGP_MLN_058_001
gene_accession_id,MGI:1339969
mouse_strain,C57BL
