parameter_name,Basophil cell count
mouse_strain,C57BL
gene_symbol,AU040320
pvalue,0.6162278
analysis_id,2559bj4s3u82z44
parameter_id,IMPC_HEM_037_001
gene_accession_id,MGI:2140475
mouse_life_stage,Early adult
