analysis_id,11dfykhvze310h4
gene_symbol,Ddx27
mouse_strain,129SV
parameter_name,NK cell number
mouse_life_stage,Early adult
pvalue,0.6111003
parameter_id,MGP_PBI_027_001
gene_accession_id,MGI:2385884
