analysis_id,5a07c960oa2ovq5
gene_symbol,Mov10
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
parameter_id,MGP_MLN_074_001
pvalue,0.2530795
mouse_strain,C57BL
