parameter_name,Embryo Size
parameter_id,IMPC_GEL_032_001
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
mouse_strain,C57BL
analysis_id,73x3h77zf26x4ba
gene_symbol,Bcs1l
pvalue,0.3776305
