analysis_id,q672bttis7a0e62
pvalue,0.1685287
gene_symbol,Dhdds
mouse_life_stage,Early adult
parameter_name,Potassium
gene_accession_id,MGI:1914672
mouse_strain,C57BL
parameter_id,GMC_906_001_005
