gene_symbol,Bmi1
mouse_strain,C57BL
gene_accession_id,MGI:88174
mouse_life_stage,E12.5
pvalue,0.3581089
parameter_id,M-G-P_016_001_006
analysis_id,91l67w4myp1deu7
parameter_name,Mean-corpuscular-haemoglobin
