parameter_id,HMGULA_CBC_010_001
Analysis_id,p1zme7dfd76y417
parameter_name,Phosphorus
Mouse_strain,C57BL
Gene_symbol,Gja10
Mouse_life_stage,Early adult
gene_accession_id,MGI:1339969
pvalue,0.7923928
