gene_symbol,Cds2
mouse_life_stage,Early adult
parameter_id,IMPC_IPG_011_001
gene_accession_id,MGI:1332236
pvalue,0.3947125
mouse_strain,129SV
parameter_name,Initial response to glucose challenge
analysis_id,1836mprgi9594no
