parameter_name,Centre resting time
gene_symbol,Bcs1l
mouse_life_stage,E9.5
parameter_id,ESLIM_007_001_011
analysis_id,gdv9i9y4ve1di23
gene_accession_id,MGI:1914071
pvalue,0.814029
mouse_strain,C57BL
