gene_symbol,Hpca
gene_accession_id,MGI:1336200
mouse_life_stage,Early adult
parameter_name,Hindpaw - size
mouse_strain,C57BL
pvalue,0.5419223
parameter_id,JAXLA_CSD_041_002
analysis_id,ib9asf0q2bi461a
