gene_symbol,Hrnr
analysis_id,mesk39l6qd1a529
mouse_strain,C57BL
parameter_name,Light side time spent
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
parameter_id,JAX_LDT_002_001
pvalue,0.7430743
