analysis_id,k65y3c6nia8yc3l
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8527338
parameter_name,Tibia
gene_symbol,Rab22a
parameter_id,IMPC_XRY_025_001
