gene_symbol,Pum1
mouse_strain,C57BL
pvalue,0.178459
gene_accession_id,MGI:1931749
parameter_name,Center average speed
parameter_id,HRWLLA_OFD_017_001
mouse_life_stage,Early adult
analysis_id,876f67j1w2j714c
