parameter_name,Body weight
mouse_life_stage,Early adult
pvalue,0.59286
mouse_strain,C57BL
analysis_id,obewm932k2245yf
parameter_id,M-G-P_009_001_003
gene_accession_id,MGI:1915678
gene_symbol,Steap3
