parameter_id,JAXLA_CSD_007_001
analysis_id,4g35e1z4w8okb71
gene_symbol,Car13
gene_accession_id,MGI:1931322
mouse_strain,C57BL
pvalue,0.8276199
parameter_name,Coat - color - abdomen
mouse_life_stage,Early adult
